regime,target,order,seasonal_order,aic,bic,mse,rmse,mae
Low volatility,Log_returns,"(3, 0, 2)","(0, 0, 0, 0)",-9017.108963015882,-8983.452763788157,0.0012056167375693741,0.03472199213134774,0.022647888179910473
Low volatility,Log_returns,"(2, 0, 1)","(0, 0, 0, 0)",-9022.189440741007,-8999.749991937353,0.001205753349655936,0.03472395930270533,0.02264927287971514
Low volatility,Log_returns,"(1, 0, 1)","(0, 0, 0, 0)",-9023.98509395456,-9007.15550735182,0.0012058247623882624,0.03472498757938241,0.022650770862940692
Low volatility,Log_returns,"(2, 0, 2)","(0, 0, 0, 0)",-9016.928440008684,-8988.881607318912,0.0012058428851855598,0.03472524852590057,0.0226518802797145
Low volatility,Log_returns,"(1, 0, 2)","(0, 0, 0, 0)",-9018.49376914245,-8996.056302990632,0.001205913019679084,0.03472625835990805,0.02265242263864132
Low volatility,Log_returns,"(2, 0, 0)","(0, 0, 0, 0)",-9022.80785481894,-9005.9782682162,0.0012060109083300167,0.03472766776404682,0.022654159768974523
Low volatility,Log_returns,"(0, 0, 2)","(0, 0, 0, 0)",-9019.912585868864,-9003.084486255002,0.00120605900731858,0.03472836027396888,0.022655012388831712
Low volatility,Log_returns,"(1, 0, 0)","(0, 0, 0, 0)",-9028.311665983256,-9017.09095074663,0.0012061958530152756,0.03473033044782724,0.02265837759674737
Low volatility,Log_returns,"(0, 0, 1)","(0, 0, 0, 0)",-9022.554216629804,-9011.334492227976,0.0012062105648268048,0.03473054224780841,0.022658714993639962
Low volatility,Log_returns,"(0, 0, 0)","(0, 0, 0, 0)",-9024.802355711985,-9019.191998093673,0.0012062239301187895,0.03473073466137435,0.022659043321518562
Low volatility,Log_returns,"(3, 0, 3)","(0, 0, 0, 0)",-9012.820340009048,-8973.558245604709,0.0012066225782505456,0.034736473313371145,0.022659152147494123
Complete,Close_diff_1,"(0, 0, 0)","(0, 0, 0, 0)",-1338.0223674188958,-1331.7288179038355,0.007282913999999999,0.08533999062573185,0.055684
Complete,Close_diff_1,"(0, 0, 1)","(0, 0, 0, 0)",-1336.7262070744646,-1324.1396083570419,0.00728295044180692,0.0853402041350202,0.05568624347374747
Complete,Close_diff_1,"(1, 0, 0)","(0, 0, 0, 0)",-1338.0988472141,-1325.5117481839793,0.00728295951872186,0.08534025731577015,0.05568637853944077
Complete,Close_diff_1,"(2, 0, 2)","(0, 0, 0, 0)",-1335.0098769414617,-1303.5446312426195,0.007283023378785874,0.08534063146465388,0.05568725003775175
Complete,Close_diff_1,"(0, 0, 2)","(0, 0, 0, 0)",-1334.049294170728,-1315.1701467514226,0.007283132416673486,0.08534127030149882,0.055687373726148875
Complete,Close_diff_1,"(2, 0, 0)","(0, 0, 0, 0)",-1335.562280090316,-1316.6823820141822,0.007283165469537753,0.08534146395239393,0.05568772366394378
Complete,Close_diff_1,"(0, 0, 3)","(0, 0, 0, 0)",-1335.9101428698318,-1310.7389474370302,0.007283183285294475,0.08534156833158432,0.055690187281123085
Complete,Close_diff_1,"(1, 0, 1)","(0, 0, 0, 0)",-1339.965409295814,-1321.08551121968,0.007283183876506703,0.08534157179538412,0.055688490511114665
Complete,Close_diff_1,"(3, 0, 0)","(0, 0, 0, 0)",-1337.8345875462742,-1312.6623909872003,0.0072832550237177975,0.08534198863231274,0.05569086145618562
Complete,Close_diff_1,"(1, 0, 2)","(0, 0, 0, 0)",-1337.1774208275326,-1312.0052242684587,0.007283339705874848,0.08534248476506205,0.05568935349100449
Complete,Close_diff_1,"(2, 0, 1)","(0, 0, 0, 0)",-1335.5712758330046,-1310.3980783981592,0.007283390176030184,0.08534278045640524,0.05568983817501739
Complete,Close_diff_1,"(3, 0, 1)","(0, 0, 0, 0)",-1338.1903622417926,-1306.7251165429504,0.007283396486110438,0.08534281742543093,0.05569221361258943
Complete,Close_diff_1,"(3, 0, 2)","(0, 0, 0, 0)",-1333.9445880546032,-1296.1862932159925,0.007283407612832262,0.08534288261379658,0.05569045018411603
Complete,Close_diff_1,"(1, 0, 3)","(0, 0, 0, 0)",-1337.267927675774,-1305.803933384772,0.007283483899681523,0.08534332955586818,0.05569332501046989
Complete,Close_diff_1,"(2, 0, 3)","(0, 0, 0, 0)",-1337.7181806157482,-1299.961387466546,0.007284578035176425,0.08534973951440289,0.05570407665486687
Complete,Close_diff_1,"(3, 0, 3)","(0, 0, 0, 0)",-1337.1154193031662,-1293.0658272957635,0.007285455568152398,0.08535488016600104,0.05570469714926474
Low volatility,Close_diff_1,"(3, 0, 0)","(0, 0, 0, 0)",-4149.7875357440935,-4127.350069592277,0.016363262994304763,0.12791897042387718,0.07218887127766367
Low volatility,Close_diff_1,"(0, 0, 3)","(0, 0, 0, 0)",-4146.848899003621,-4124.4134164868565,0.01636411882740792,0.12792231559586437,0.0721947472504257
Low volatility,Close_diff_1,"(1, 0, 3)","(0, 0, 0, 0)",-4144.875975839612,-4116.831622693656,0.01636477840837439,0.12792489362268156,0.07219841329197164
Low volatility,Close_diff_1,"(2, 0, 1)","(0, 0, 0, 0)",-4146.670995000783,-4124.231546197128,0.016365125258500902,0.12792624929427465,0.07219773466544205
Low volatility,Close_diff_1,"(3, 0, 1)","(0, 0, 0, 0)",-4148.806590603208,-4120.759757913437,0.016365872657553713,0.1279291704716079,0.07220831753627677
Low volatility,Close_diff_1,"(1, 0, 2)","(0, 0, 0, 0)",-4146.805011387735,-4124.367545235918,0.016366427393744134,0.1279313385912308,0.07220537770228977
Low volatility,Close_diff_1,"(1, 0, 1)","(0, 0, 0, 0)",-4147.662668974176,-4130.833082371435,0.016366862448989467,0.12793303892657856,0.07220869749276561
Low volatility,Close_diff_1,"(3, 0, 2)","(0, 0, 0, 0)",-4148.447495340395,-4114.791296112669,0.016367553299756876,0.12793573894638227,0.0722055851791918
Low volatility,Close_diff_1,"(3, 0, 3)","(0, 0, 0, 0)",-4146.423216480273,-4107.161122075934,0.016368164372058493,0.12793812712424116,0.07221129872653766
Low volatility,Close_diff_1,"(2, 0, 3)","(0, 0, 0, 0)",-4147.688843695246,-4114.035619920099,0.016369020961289768,0.1279414747503317,0.07221457793960222
Low volatility,Close_diff_1,"(2, 0, 0)","(0, 0, 0, 0)",-4145.467701190541,-4128.6381145878,0.0163693234917839,0.12794265704519311,0.07222228644448703
Low volatility,Close_diff_1,"(0, 0, 2)","(0, 0, 0, 0)",-4147.460802727723,-4130.63270311386,0.016370061738389684,0.12794554208095602,0.07222626657034356
Low volatility,Close_diff_1,"(1, 0, 0)","(0, 0, 0, 0)",-4146.456044333807,-4135.235329097181,0.01637222843139981,0.12795400904778173,0.07224236669288758
Low volatility,Close_diff_1,"(0, 0, 1)","(0, 0, 0, 0)",-4143.064853533463,-4131.845129131636,0.01637237481327807,0.1279545810562407,0.072243375002859
Low volatility,Close_diff_1,"(0, 0, 0)","(0, 0, 0, 0)",-4143.5076593959075,-4137.897301777594,0.016372519999999995,0.12795514839192676,0.07224444444444446
Low volatility,Close_diff_1,"(2, 0, 2)","(0, 0, 0, 0)",-4146.248184919366,-4118.201352229596,0.016375432336050745,0.12796652818628293,0.0722314522974576
High volatility,Close_diff_1,"(0, 0, 0)","(0, 0, 0, 0)",98.57522820510366,104.39003163459302,0.01809876086956523,0.13453163519992326,0.10587681159420291
High volatility,Close_diff_1,"(0, 0, 1)","(0, 0, 0, 0)",100.75429499370998,112.38309426131894,0.0181017537582899,0.1345427581042172,0.10591967162304333
High volatility,Close_diff_1,"(1, 0, 0)","(0, 0, 0, 0)",99.78808405553877,111.4176909145175,0.01810236561485855,0.1345450319218757,0.10592136912629523
High volatility,Close_diff_1,"(0, 0, 3)","(0, 0, 0, 0)",103.71266500730673,126.96703121911645,0.01810246009581553,0.1345453830341849,0.10585999632743044
High volatility,Close_diff_1,"(3, 0, 0)","(0, 0, 0, 0)",102.45320733295284,125.709190032964,0.018108341784276723,0.13456723889668215,0.10586424340590471
High volatility,Close_diff_1,"(0, 0, 2)","(0, 0, 0, 0)",103.43002320415206,120.87201022916044,0.01811944454273534,0.1346084861468078,0.10594353550698857
High volatility,Close_diff_1,"(2, 0, 0)","(0, 0, 0, 0)",102.4043453094514,119.84754421086487,0.01812205992822488,0.1346182005830745,0.10594806990783862
High volatility,Close_diff_1,"(1, 0, 3)","(0, 0, 0, 0)",103.41736936612372,132.48532713088588,0.01812540588787852,0.1346306275996607,0.10585190019988495
High volatility,Close_diff_1,"(3, 0, 1)","(0, 0, 0, 0)",102.68118430677129,131.75116268178525,0.018126873234094395,0.13463607701539138,0.10585583033507
High volatility,Close_diff_1,"(2, 0, 3)","(0, 0, 0, 0)",104.27519268035942,139.15674199807404,0.018131787693918235,0.1346543266810177,0.10590543367284459
High volatility,Close_diff_1,"(3, 0, 2)","(0, 0, 0, 0)",106.10625954842686,140.9902335984436,0.018134382078377313,0.13466395983475798,0.10587284549164042
High volatility,Close_diff_1,"(1, 0, 1)","(0, 0, 0, 0)",100.10384450104166,117.54704340245513,0.01814223171171384,0.1346931019455482,0.1059271661758908
High volatility,Close_diff_1,"(2, 0, 2)","(0, 0, 0, 0)",105.08976623932605,134.15974461434,0.018142784782019524,0.13469515500573703,0.1059326076303958
High volatility,Close_diff_1,"(1, 0, 2)","(0, 0, 0, 0)",102.6012451961565,125.85722789616766,0.018153093617302232,0.1347334168545511,0.10591621283447838
High volatility,Close_diff_1,"(2, 0, 1)","(0, 0, 0, 0)",101.70386710688834,124.96146564210629,0.018153795652941427,0.13473602210597369,0.10592752143285344
High volatility,Close_diff_1,"(3, 0, 3)","(0, 0, 0, 0)",105.69774398541898,146.39288485608603,0.01816944019107943,0.1347940658600349,0.10600018316122943
